,no,tr,cr,role
0,1,0.46203357,0.46001273,Broker
1,2,0.37166137,0.5313003,Broker
2,3,0.44309163,0.5060009,Broker
3,4,0.44732225,0.45724744,Broker
4,5,0.37025115,0.46931618,Broker
5,6,0.45917693,0.4755223,Broker
6,7,0.43647456,0.54017806,Broker
7,8,0.32987046,0.4586348,Broker
8,9,0.41661245,0.49238425,Broker
9,10,0.46016484,0.5242084,Broker
10,11,0.361123,0.4722,Broker
11,12,0.36999846,0.45421922,Outlier
12,13,0.33413377,0.5863188,Broker
13,14,-0.007898159,0.45190394,Outlier
14,15,0.46772352,0.4782375,Broker
15,16,0.4366668,0.45267552,Outlier
16,17,0.062859364,0.5248939,Broker
17,18,0.39122832,0.4947034,Broker
18,19,0.06555139,0.46106344,Broker
19,20,0.45445228,0.49380165,Broker
20,21,0.45477426,0.46478423,Broker
21,22,0.41582733,0.45685798,Broker
22,23,0.4237033,0.46516386,Broker
23,24,0.33837992,0.45671242,Broker
24,25,0.38391063,0.47588503,Broker
25,26,0.4385671,0.54907995,Broker
26,27,0.406614,0.49243438,Broker
27,28,0.33308256,0.51504695,Broker
28,29,0.43146735,0.47987738,Broker
29,30,0.41418177,0.4799632,Broker
30,31,0.45284915,0.46639365,Broker
31,32,0.43353733,0.48328668,Broker
32,33,0.4275784,0.453461,Outlier
33,34,0.43968973,0.49445745,Broker
34,35,0.44159764,0.46388096,Broker
35,36,0.36928144,0.45547226,Outlier
36,37,0.4460238,0.48499912,Broker
37,38,0.46769795,0.4525332,Outlier
38,39,0.44441134,0.49297675,Broker
39,40,0.45686984,0.5126935,Broker
40,41,0.44593304,0.49174953,Broker
41,42,0.4581429,0.48038054,Broker
42,43,0.44352636,0.46319634,Broker
43,44,0.45111114,0.51491034,Broker
44,45,0.42066583,0.47782847,Broker
45,46,0.082485214,0.5087439,Broker
46,47,0.40947843,0.5077082,Broker
47,48,0.4009503,0.45311654,Outlier
48,49,0.3892931,0.45477188,Outlier
49,50,0.42687082,0.4792136,Broker
50,51,0.41806215,0.45332533,Outlier
51,52,0.42962706,0.45290732,Outlier
52,53,0.4567238,0.46637797,Broker
53,54,0.449237,0.47936678,Broker
54,55,0.42218012,0.5389627,Broker
55,56,0.4417841,0.456666,Broker
56,57,0.4206161,0.46114108,Broker
57,58,0.42689395,0.45730487,Broker
58,59,0.45811078,0.48674053,Broker
59,60,0.36846727,0.50994277,Broker
60,61,0.3255303,0.45733374,Broker
61,62,0.4253306,0.46063048,Broker
62,63,0.40757084,0.54156554,Broker
63,64,0.4611175,0.49499848,Broker
64,65,0.44183075,0.4598614,Broker
65,66,0.45934147,0.48287338,Broker
66,67,0.43121156,0.49841887,Broker
67,68,0.3237813,0.5289929,Broker
68,69,0.38153183,0.5346136,Broker
69,70,0.42160687,0.46364045,Broker
70,71,0.44848377,0.4772122,Broker
71,72,0.27545905,0.52066904,Broker
72,73,0.4373042,0.45863554,Broker
73,74,0.39811748,0.46363437,Broker
74,75,0.4400987,0.5040053,Broker
75,76,0.36554223,0.5043637,Broker
76,77,0.43438715,0.518472,Broker
77,78,0.4281406,0.49250746,Broker
78,79,0.43784845,0.47670692,Broker
79,80,0.3875851,0.50268877,Broker
80,81,0.46385434,0.4941344,Broker
81,82,0.4361847,0.45979917,Broker
82,83,0.45837036,0.49094352,Broker
83,84,0.44503716,0.5369156,Broker
84,85,0.44568893,0.5091262,Broker
85,86,0.4524802,0.5213522,Broker
86,87,0.44833845,0.4583068,Broker
87,88,0.2736349,0.4640451,Broker
88,89,0.31056333,0.55662847,Broker
89,90,0.34367922,0.49429935,Broker
90,91,0.4611057,0.46205536,Broker
91,92,0.46698898,0.4772551,Broker
92,93,0.29133838,0.4880464,Broker
93,94,0.39990437,0.49880695,Broker
94,95,0.43913382,0.45420834,Outlier
95,96,0.37082177,0.5005722,Broker
